LGACODE,LGA,Year,Deaths,Population
LGA10050,Albury (C),2010,390.88594,49235.126
LGA10050,Albury (C),2011,386.73641,49453.678
LGA10050,Albury (C),2012,417.00089,49702.955
LGA10050,Albury (C),2013,429.00089,50205.932
LGA10050,Albury (C),2014,388.31118,51037.163
LGA10110,Armidale Dumaresq (A),2010,172.34663,25029.422
LGA10110,Armidale Dumaresq (A),2011,214.49524,25159.297
LGA10110,Armidale Dumaresq (A),2012,175.4005,25292.246
LGA10110,Armidale Dumaresq (A),2013,172.94669,25430.144
LGA10110,Armidale Dumaresq (A),2014,183.02227,25391.417
LGA10150,Ashfield (A),2010,385.94832,42980.573
LGA10150,Ashfield (A),2011,424.13365,43536.864
LGA10150,Ashfield (A),2012,383.13566,43727.154
LGA10150,Ashfield (A),2013,385.40748,44140.436
LGA10150,Ashfield (A),2014,389.82856,44455.293
LGA10200,Auburn (C),2010,260.55541,76658.669
LGA10200,Auburn (C),2011,344.41308,77780.139
LGA10200,Auburn (C),2012,307.6187,80527.204
LGA10200,Auburn (C),2013,319.52732,83323.261
LGA10200,Auburn (C),2014,319.73294,85388.485
LGA10250,Ballina (A),2010,421.37051,40525.267
LGA10250,Ballina (A),2011,452.31688,40748.804
LGA10250,Ballina (A),2012,399.39976,41012.984
LGA10250,Ballina (A),2013,429.31201,41319.028
LGA10250,Ballina (A),2014,461.37051,41612.403
LGA10300,Balranald (A),2010,21.219529,2377.2114
LGA10300,Balranald (A),2011,18.723114,2350.3749
LGA10300,Balranald (A),2012,16.850803,2332.2759
LGA10300,Balranald (A),2013,20.595425,2321.6661
LGA10300,Balranald (A),2014,23.715944,2338.5169
LGA10350,Bankstown (C),2010,1206.8445,188124.65
LGA10350,Bankstown (C),2011,1217.4845,190858.12
LGA10350,Bankstown (C),2012,1230.0625,193670.6
LGA10350,Bankstown (C),2013,1338.7916,197072.5
LGA10350,Bankstown (C),2014,1261.9495,200398.27
LGA10470,Bathurst Regional (A),2010,292.01428,39523.646
LGA10470,Bathurst Regional (A),2011,318.15352,39974.45
LGA10470,Bathurst Regional (A),2012,313.16897,40380.208
LGA10470,Bathurst Regional (A),2013,290.94255,41086.03
LGA10470,Bathurst Regional (A),2014,291.34706,41711.218
LGA10550,Bega Valley (A),2010,306.59674,33021.163
LGA10550,Bega Valley (A),2011,358.527,33131.833
LGA10550,Bega Valley (A),2012,307.77986,33246.924
LGA10550,Bega Valley (A),2013,321.85975,33290.335
LGA10550,Bega Valley (A),2014,320.59435,33481.335
LGA10600,Bellingen (A),2010,116.04062,12906.564
LGA10600,Bellingen (A),2011,97.270436,12925.101
LGA10600,Bellingen (A),2012,127.48904,12865.034
LGA10600,Bellingen (A),2013,124.64429,12837.952
LGA10600,Bellingen (A),2014,125.56078,12915.569
LGA10650,Berrigan (A),2010,77.197941,8326.969
LGA10650,Berrigan (A),2011,110.15886,8298.345
LGA10650,Berrigan (A),2012,105.8219,8313.0907
LGA10650,Berrigan (A),2013,111.02625,8329.5711
LGA10650,Berrigan (A),2014,104.9545,8383.3495
LGA10750,Blacktown (C),2010,1439.6521,306714.66
LGA10750,Blacktown (C),2011,1493.5221,312344.65
LGA10750,Blacktown (C),2012,1436.1101,318026.8
LGA10750,Blacktown (C),2013,1441.6265,325074.66
LGA10750,Blacktown (C),2014,1497.0775,332277.34
LGA10800,Bland (A),2010,48.146071,6047.6732
LGA10800,Bland (A),2011,52.105868,6021.6518
LGA10800,Bland (A),2012,50.091127,6055.763
LGA10800,Bland (A),2013,50.109888,5988.7121
LGA10800,Bland (A),2014,49.097827,5990.6692
LGA10850,Blayney (A),2010,53.830402,7134.522
LGA10850,Blayney (A),2011,52.833543,7216.2645
LGA10850,Blayney (A),2012,62.802136,7269.098
LGA10850,Blayney (A),2013,54.827262,7316.9473
LGA10850,Blayney (A),2014,48.846106,7402.6772
LGA10900,Blue Mountains (C),2010,571.29581,78272.62
LGA10900,Blue Mountains (C),2011,536.48092,78553.415
LGA10900,Blue Mountains (C),2012,583.20325,78721.582
LGA10900,Blue Mountains (C),2013,552.57348,79163.508
LGA10900,Blue Mountains (C),2014,563.92558,79647.433
LGA10950,Bogan (A),2010,19.988508,3007.522
LGA10950,Bogan (A),2011,26.643024,3002.9997
LGA10950,Bogan (A),2012,27.737457,3041.2374
LGA10950,Bogan (A),2013,24.988981,3051.7986
LGA10950,Bogan (A),2014,29.412837,3065.1449
LGA11000,Bombala (A),2010,26.920184,2495.8013
LGA11000,Bombala (A),2011,24.924411,2476.8622
LGA11000,Bombala (A),2012,28.910088,2426.0288
LGA11000,Bombala (A),2013,26.916111,2398.1194
LGA11000,Bombala (A),2014,41.867283,2419.0588
LGA11050,Boorowa (A),2010,22.277148,2450.0526
LGA11050,Boorowa (A),2011,23.228561,2475.3171
LGA11050,Boorowa (A),2012,18.427814,2501.0168
LGA11050,Boorowa (A),2013,23.274361,2516.0053
LGA11050,Boorowa (A),2014,20.352834,2525.1453
LGA11100,Botany Bay (C),2010,242,40909
LGA11100,Botany Bay (C),2011,322.9992,41503.988
LGA11100,Botany Bay (C),2012,261,42293.988
LGA11100,Botany Bay (C),2013,277.9992,43272.988
LGA11100,Botany Bay (C),2014,266.9992,44713.988
LGA11150,Bourke (A),2010,20.777552,3037.544
LGA11150,Bourke (A),2011,28.150231,3050.2786
LGA11150,Bourke (A),2012,29.490718,3033.5225
LGA11150,Bourke (A),2013,29.490718,3054.9703
LGA11150,Bourke (A),2014,26.1395,3030.8416
LGA11200,Brewarrina (A),2010,14.240009,1873.5596
LGA11200,Brewarrina (A),2011,17.266091,1873.5273
LGA11200,Brewarrina (A),2012,18.326869,1866.3728
