"SSC","$1-$199 ($1-$10,399)","$200-$299 ($10,400-$15,599)","$300-$399 ($15,600-$20,799)","$400-$599 ($20,800-$31,199)","$600-$799 ($31,200-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,999 ($78,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,999 ($208,000-$259,999)","$5,000 or more ($260,000 or more)","Total",
"Abbotsbury",12,16,11,47,61,59,74,89,143,149,131,85,59,47,43,1026,
"Abbotsford (NSW)",29,64,131,152,110,102,135,113,201,152,260,135,93,92,124,1893,
"Abercrombie",0,4,10,19,20,22,16,17,41,41,38,30,11,5,4,278,
"Aberdare",17,24,83,112,103,81,80,63,93,53,46,29,9,0,3,796,
"Aberdeen (NSW)",9,11,57,78,70,49,56,63,104,58,92,50,10,12,7,726,
"Aberfoyle",4,5,5,7,11,7,8,7,15,4,0,0,0,0,0,73,
"Aberglasslyn",3,7,25,56,39,45,46,51,120,101,139,73,40,21,11,777,
"Abermain",9,21,95,73,118,58,67,47,99,67,60,27,10,6,0,757,
"Abernethy",0,3,6,11,10,4,3,3,9,4,7,0,0,0,0,60,
"Acacia Gardens",4,10,12,33,23,47,65,72,149,173,176,108,49,42,21,984,
"Adaminaby",3,7,11,13,21,13,3,4,12,0,5,0,0,0,0,92,
"Adamstown",23,81,198,234,190,158,181,168,298,207,160,128,32,32,14,2104,
"Adamstown Heights",24,44,90,160,169,154,140,119,234,173,192,134,66,36,20,1755,
"Adelong",9,16,48,48,29,39,27,22,39,21,13,4,3,0,0,318,
"Agnes Banks",3,6,9,14,20,12,17,18,30,27,24,11,3,6,11,211,
"Airds",35,99,192,180,136,71,76,37,48,30,17,3,3,0,3,930,
"Akolele",6,5,3,3,9,3,3,0,0,0,0,0,0,0,0,32,
"Albion Park",36,72,203,348,279,268,317,322,645,474,345,223,71,53,16,3672,
"Albion Park Rail",34,85,170,318,232,223,208,203,296,193,124,57,30,18,3,2194,
"Albury",33,78,167,164,210,178,153,146,219,157,141,94,36,32,29,1837,
"Aldavilla",3,0,20,37,33,18,29,11,29,21,3,7,0,5,0,216,
"Alexandria",25,51,90,77,126,173,213,238,429,338,503,259,171,142,147,2982,
"Alfords Point",5,0,13,31,29,46,40,43,100,93,132,103,49,73,49,806,
"Alison (Dungog - NSW)",0,0,15,10,7,17,6,11,16,9,6,0,0,5,5,107,
"Allambie Heights",22,35,125,197,126,147,117,114,202,174,237,183,101,89,82,1951,
"Allandale (NSW)",3,0,3,11,8,15,4,3,16,9,11,7,3,3,5,101,
"Allawah",35,49,103,176,185,180,221,169,269,169,148,72,43,28,19,1866,
"Allgomera",3,3,3,8,10,3,3,4,8,3,0,0,0,0,0,48,
"Allworth",0,4,6,9,12,9,0,8,7,3,0,3,0,0,0,61,
"Allynbrook",3,3,4,18,10,4,11,6,12,4,0,3,0,0,0,78,
"Alstonvale",0,0,8,12,19,15,8,11,23,8,9,15,5,0,0,133,
"Alstonville",26,80,244,322,261,272,209,161,203,139,80,62,23,17,12,2111,
"Alumy Creek",0,5,3,9,6,5,0,7,10,4,0,4,0,0,0,53,
"Ambarvale",34,68,141,196,194,169,212,180,260,178,122,53,35,27,18,1887,
"Angledale",0,4,5,12,9,6,11,8,13,11,4,0,0,0,0,83,
"Anglers Reach",0,5,9,19,24,10,12,16,18,12,7,3,0,3,0,138,
"Angourie",0,4,3,6,11,4,11,3,11,5,6,0,0,0,0,64,
"Anna Bay",13,46,131,222,153,114,91,101,140,94,64,33,19,10,5,1236,
"Annandale (NSW)",31,73,124,175,184,162,204,214,380,255,522,297,153,211,236,3221,
"Annangrove",6,3,11,21,16,22,19,23,39,26,34,47,18,22,22,329,
"Appin (NSW)",9,9,22,27,36,42,29,54,71,78,52,35,14,14,9,501,
"Apsley (NSW)",0,5,5,5,5,0,0,0,0,5,0,0,0,0,0,25,
"Arakoon",3,7,13,21,22,26,17,22,14,12,8,4,4,0,0,173,
"Araluen (NSW)",4,8,11,16,16,13,10,12,10,3,9,6,0,0,0,118,
"Arcadia (NSW)",7,4,10,26,29,32,27,35,40,30,46,36,20,12,28,382,
"Arcadia Vale",13,14,32,52,49,34,39,51,59,41,40,22,17,7,3,473,
"Arding",3,3,5,12,16,9,7,6,10,8,4,6,0,0,0,89,
"Ardlethan",7,7,28,37,22,9,14,0,10,3,0,0,0,0,0,137,
"Argenton",7,27,59,90,61,52,58,37,54,28,19,9,0,3,0,504,
"Argents Hill",7,9,24,22,34,17,7,12,17,3,5,0,0,0,0,157,
"Ariah Park",11,15,30,46,24,31,17,16,22,11,4,3,0,0,4,234,
"Armatree",3,3,6,12,13,13,10,4,9,6,4,6,0,0,0,89,
"Armidale",158,301,628,911,868,730,685,582,879,551,416,261,97,72,41,7180,
"Arncliffe",53,97,159,206,209,182,222,161,338,207,177,121,56,68,40,2296,
"Arndell Park",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Arrawarra",10,11,23,100,53,37,19,12,12,5,8,0,0,0,0,290,
"Arrawarra Headland",0,9,14,17,25,21,15,18,9,12,10,3,0,0,0,153,
"Artarmon",60,78,135,194,155,170,242,212,403,246,554,268,147,176,169,3209,
"Ashbury",14,14,49,67,78,60,56,69,118,98,111,68,47,39,37,925,
"Ashby (NSW)",3,6,10,26,14,12,14,10,11,10,4,3,0,0,0,123,
"Ashby Heights",6,9,8,25,11,5,11,11,12,4,0,0,0,0,0,102,
"Ashcroft",37,85,130,145,117,84,74,77,77,46,19,9,7,5,3,915,
"Ashfield (NSW)",152,206,441,657,653,598,741,673,1059,677,689,392,168,177,116,7399,
"Ashford (NSW)",10,17,35,70,46,37,27,19,19,8,3,0,0,0,3,294,
"Ashley",3,4,7,16,12,5,12,16,11,7,7,4,0,0,0,104,
"Ashmont",31,64,169,216,206,148,137,84,157,64,35,11,8,0,5,1335,
"Ashtonfield",10,13,39,100,85,87,84,87,213,180,161,135,46,37,19,1296,
"Asquith",13,26,54,90,80,74,87,67,137,127,121,88,43,40,19,1066,
"Attunga",4,4,17,32,24,29,35,25,30,18,7,6,0,0,4,235,
"Auburn (NSW)",224,311,511,1022,1055,844,879,706,965,593,410,186,105,82,45,7938,
"Austinmer",7,12,35,49,55,56,65,47,86,80,101,74,31,27,25,750,
"Austral",17,27,21,82,77,59,79,67,89,49,53,26,18,19,15,698,
"Avalon (NSW)",43,56,116,207,209,232,241,226,384,305,459,279,121,120,175,3173,
"Avoca Beach",11,23,66,121,102,99,120,121,182,131,139,95,34,29,23,1296,
"Awaba",3,5,7,10,11,10,15,12,18,10,5,4,0,0,0,110,
"Aylmerton",0,0,5,11,11,5,5,4,7,7,5,5,0,0,7,72,
"Baan Baa",8,11,9,19,24,21,18,9,16,14,7,4,0,0,3,163,
"Backmede",0,0,3,14,11,12,6,12,11,10,0,3,0,0,0,82,
"Badgerys Creek",0,6,6,5,10,10,20,12,7,13,4,7,0,0,0,100,
"Balaclava (NSW)",0,3,6,15,18,12,12,9,22,11,5,4,3,4,0,124,
"Balala",5,0,16,11,12,18,12,4,12,6,3,3,0,0,3,105,
"Balcolyn",9,4,20,43,31,34,19,15,28,34,15,13,3,3,4,275,
"Bald Hills (NSW)",0,3,5,7,11,17,14,14,13,5,3,3,0,0,0,95,
"Balgowlah",32,37,96,147,181,167,210,160,315,216,443,206,136,119,141,2606,
"Balgowlah Heights",10,8,28,40,44,45,37,47,55,58,183,92,63,68,117,895,
"Balgownie",44,51,138,204,157,143,121,105,227,168,183,128,37,33,41,1780,
"Balladoran",4,0,0,8,7,8,13,8,11,4,0,0,0,0,0,63,
"Ballimore",0,0,4,6,5,10,6,3,11,8,0,3,0,0,0,56,
"Ballina",66,190,543,630,515,382,288,225,262,99,69,39,9,3,5,3325,
"Balmain",53,125,180,199,172,192,187,227,351,220,746,310,216,260,373,3811,
"Balmain East",20,25,34,33,32,24,40,48,72,47,159,73,28,41,72,748,
"Balmoral (Lake Macquarie - NSW)",8,0,13,31,17,14,21,23,35,29,19,11,3,3,3,230,
"Balmoral (Wingecarribee - NSW)",3,5,4,6,5,6,22,4,19,14,12,11,3,0,0,114,
"Balranald",10,26,61,84,81,70,55,43,53,29,10,8,3,0,6,539,
"Bandon Grove",8,3,6,11,13,11,9,3,4,9,3,3,0,0,0,83,
"Bangalee (NSW)",3,11,9,15,20,24,14,22,25,34,22,19,12,4,6,240,
"Bangalow",11,13,46,81,64,78,58,52,74,50,42,25,6,5,4,609,
"Bangheet",6,5,11,14,12,16,14,8,6,8,0,0,0,0,0,100,
